UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,,,,,,,,
10710,Малая Сухаревская площадь,58481251,М. Сухаревская пл.,Malaya Suxarevskaya ploshhad`,4,,105,"7,70000000007227E+016",,,,,,,,
10720,площадь Колумба,58481252,пл. Колумба,ploshhad` Kolumba,4,,1012,"7,70000020001511E+016",,,,,,,,
10730,Колхозная улица,58481253,Колхозная ул.,Kolxoznaya ulicza,1,,1011,"7,70000020071512E+016",,,,,,,,
10740,Кольская улица,58481254,Кольская ул.,Kol`skaya ulicza,1,,303,313,"7,70000000001515E+016",,,,,,,
10750,улица Академика Комарова,58481255,ул. Академика Комарова,ulicza Akademika Komarova,1,,308,"7,70000000001516E+016",,,,,,,,
10760,площадь Космонавта Комарова,58481256,пл. Космонавта Комарова,ploshhad` Kosmonavta Komarova,4,,201,"7,70000000003665E+016",,,,,,,,
10770,улица Коминтерна,58481257,ул. Коминтерна,ulicza Kominterna,1,,303,307,"7,70000000001517E+016",,,,,,,
10780,Комиссариатский переулок,58481258,Комиссариатский пер.,Komissariatskij pereulok,2,,103,"7,70000000003666E+016",,,,,,,,
10793,Коммунарская улица,58481259,Коммунарская ул.,Kommunarskaya ulicza,1,,711,"7,70000000001518E+016",,,,,,,,
10794,Коммунистическая улица,58481260,Коммунистическая ул.,Kommunisticheskaya ulicza,1,,711,"7,70000000003896E+016",,,,,,,,
10800,улица Александра Солженицына,58481261,ул. Александра Солженицына,ulicza Aleksandra Solzheniczy'na,1,,107,"7,70000000001519E+016",,,,,,,,
10810,улица Станиславского,58481262,ул. Станиславского,ulicza Stanislavskogo,1,,107,"7,70000000007345E+016",,,,,,,,
10820,Коммунистический переулок,58481263,Коммунистический пер.,Kommunisticheskij pereulok,2,,107,"7,70000000003667E+016",,,,,,,,
10830,Суворовская площадь,58481264,Суворовская пл.,Suvorovskaya ploshhad`,4,,105,108,"7,70000000007026E+016",,,,,,,
10840,Композиторская улица,58481265,Композиторская ул.,Kompozitorskaya ulicza,1,,101,"7,70000000007233E+016",,,,,,,,
10850,Комсомольская площадь,58481266,Комсомольская пл.,Komsomol`skaya ploshhad`,4,,104,"7,7000000000064E+016",,,,,,,,
